timestamp,user,clasificación,topic,msj
s,s,d,d,s
,,class,,
2018-10-11 20:53:45,SamuCastro1425,Neutro,apple,"@FlashPCT @mrodriguezott @Apple Confiaremos en ti , la verdad es que no me gustaría dejar apple para pasar a Android , pero si no queda más remedio ...."
2018-10-11 20:40:15,finalfyl,Negativo,apple,@Apple estafa
2018-10-11 20:24:00,unparrafomas,Negativo,apple,@Apple Bienvenido al consumismo mejor dicho.
2018-10-11 20:00:33,InformaBTL,Neutro,apple,. @Amazon y @Apple rechazan que sus sistemas tienen #chips del #espionaje chino  https://t.co/SGkP1fgp6k
2018-10-11 19:55:33,CertidealES,Positivo,apple,@shakesporrillo @Apple Los nuestros también vienen con garantía larga y puedes conseguirlos a ese precio ;)
2018-10-11 19:43:59,albertjorquera,Positivo,apple,La fotografía nocturna del @Apple Iphone XS Max es una pasada! Brutal el cambio en este aspecto concreto 🔝🔝🔝 https://t.co/TDS8cqmGpF
2018-10-11 19:42:57,joeliconx,Neutro,apple,Me gustan lo iPhones pero la verdad Google Pixel 3XL por el mismo precio del XS si tiene cargador rápido y además algunos accesorios   https://t.co/QTH1D9eWIW Aprendan algo @Apple
2018-10-11 19:40:39,Hugovisiglia,Negativo,apple,@Apple Bajarlo de precio! Estamos locos!? Ni con el nuevo sueldo mínimo!! 😂😂😂 https://t.co/hdSe9RTJNt
2018-10-11 19:25:43,shakesporrillo,Positivo,apple,"@CertidealES @Apple Mejor comprar uno nuevo de 200 euros que viene con garantía y te va a servir para lo mismo (llamar, que te llamen y mandar whatsapp) y te ahorras un dinerito. 😏"
2018-10-11 19:00:57,sebastiansoto23,Positivo,apple,@omargcasanova @WhatsApp @Apple Si te van a leer
2018-10-11 18:49:49,MonseOrtegaaa,Positivo,apple,"@Apple te amo, pero qpd con qué estás sacando Software cada 3 días? 🙃"
2018-10-11 18:46:48,umsalazar,Negativo,apple,"Mucho cuidado! Circula un correo fake de la Apple Store; indicando una supuesta compra y que pide confirmar o cancelar abriendo un PDF adjunto, es #Pishing ya que abre una web fraudulenta para gestionar el Apple ID @Apple @AppStore https://t.co/SSWtlFTv9x"
2018-10-11 18:37:46,chemafrias,Neutro,apple,"Pregunta seria: ¿Cómo hacen para que los audífonos del iPhone no se les boten cada dos canciones? Muy bonito el diseño, pero no se sostienen. ¿Tendré que operarme las orejas? @Apple"
2018-10-11 18:35:38,DelAngelKar,Negativo,apple,A veces me da la impresión de que @Apple hace al fregadazo sus actualizaciones de iOS y luego vienen los parches de “x” correciones de errores. 😑
2018-10-11 18:18:16,sovject,Negativo,apple,"Supongamos que se quedan sin espacio en su iPhone o Macbook, se compran espacio en iCloud. Proceden a borrar las cosas de sus dispositivos asumiendo que ya están resguardados en la nube, no, se borra también de iCloud y pierden su información. Son unos putos genios, @Apple. Bravo"
2018-10-11 17:59:50,_MabelMurcia,Negativo,apple,La cámara frontal del iPhone X’s está UNA MIERDA. Se devolvieron al iPhone 6 otra vez @Apple
2018-10-11 17:37:20,Aragon_Edwin,Negativo,apple,Mil y un fallas con el #iPhoneXS o el #IOS12 o de ambos pero de verdad se tienen que corregir varias cosas!! @MxApple @Apple y eso para aplicaciones nativas!! Pues qué pasó??
2018-10-11 17:32:34,Annangura,Negativo,apple,"Una vez más  @Apple decepcionando, no puede ser que inviertan más de 5 millones de pesos en un teléfono que no carga, o que cada semana o cada 15 días tengan que actualizar el iOS de los dispositivos no por el avance tecnológico, sino, para corregir errores. ¡Vergonzoso! 😡"
2018-10-11 17:31:16,sandracastillo0,Positivo,apple,"Tan bueno es el servicio al cliente de @apple que te da la opción de elegir el tipo de música que prefieras en lo que esperas a que te atiendan, son pequeños detalles pero hasta eso cuidan."
2018-10-11 17:30:54,metrocuadrado,Neutro,apple,Las instalaciones de @Apple Park han costado aproximadamente 5.000 millones de dólares. ¿Qué opinas de este nuevo edificio?  https://t.co/0r1NXxNHFK
2018-10-11 17:02:24,Alfredbarrraza,Negativo,apple,@Apple porque me hacen cargos a mi tarjeta que nunca autorice y que nunca existieron 😡😡😡
2018-10-11 16:41:53,agosssw,Negativo,apple,nose si cpn la plata de mis quince comprarme una csmara o un celular O HACER ALGO CON ESTE PORQUE NO ME CARGA Y NO ES EL CARGDOR ES RL CELULAR @Apple SOS UNA PORONGA
2018-10-11 16:31:50,_bree_nn,Neutro,apple,@Apple como puedo reclamar una compra que no realice yo y se está haciendo uso de mi cuenta 🤔 @AppleSupport
2018-10-11 16:17:59,fIowerdrop,Negativo,apple,hacer las baterias mejores por favor @apple
2018-10-11 16:13:28,AlfonsoDCC,Neutro,apple,.@Apple fortalece su división de chips con una inversión de 600 millones de dólares en @DialogSemi. Te lo cuento ⬇️  https://t.co/c2QL9xIfJp
2018-10-11 16:08:31,SamuCastro1425,Neutro,apple,"@mrodriguezott @FlashPCT @Apple Según dice Miguel el tiene ya instalado el iOS 12.1 y le va exactamente igual no ve mejoría , algo que decir @FlashPCT"
2018-10-11 16:07:05,Merca20,Neutro,apple,¿Cómo es que #Transsion hace de su marca #Tecno un líder por encima de gigantes como @Apple y @SamsungMobile?   https://t.co/x3BptPCJEy
2018-10-11 15:44:56,ChickenShowMx,Neutro,apple,#Tecnologia @Apple quiere que vayas con profesionales o te bloquean. 💻  Nota: https://t.co/fgNi5LVeTT
2018-10-11 15:36:39,MarioLongV,Neutro,apple,"@AppleMxico  @Apple @AppleSupport necesito ayuda con mi Apple ID “urgente” si aplicación es inútil y sus soluciones también, no me deja llamar a nadie por mi localización, por favor ayúdenme"
2018-10-11 15:32:25,mariacalvoglz,Neutro,apple,@Apple Cuando llega el iwatch 4 a Mexico ???
2018-10-11 15:29:19,tateialejnm,Negativo,apple,¿Primero los cables y ahora audífonos? @apple debería vender cosas de mejor calidad con esos precios 😒
2018-10-11 15:05:25,AyrtonPr,Positivo,apple,No saben que más hacer para superar a @Apple https://t.co/AgV0UGg8sn
2018-10-11 15:04:02,jsanxchez,Negativo,apple,"@elcorteingles @Apple No tienen stock y siguen vendiéndolos , desde el 27 de septiembre pedido , primero que el 12/10 y después que se retrasan hasta el 26/10. Un desastre de empresa en canal online."
2018-10-11 14:05:23,chisp7,Negativo,apple,@Omarpy202 A @Apple no gustar esto jajajaj in your face #timcook
2018-10-11 14:03:26,apradoc,Neutro,apple,"Cada vez con @Apple es ...""más difícil para los usuarios de Mac arreglar sus dispositivos en casa o en un proveedor no autorizado"" ¿Comprarías un equipo informático que no te permita cambiarle ""Ni el teclado""? 🙄#ObsolescenciaProgramada #ObsolescenciaEconómica https://t.co/FBymrNsXG4"
2018-10-11 13:50:04,mismatso,Neutro,apple,"La compañía @Apple ha incorporado en todos los dispositivos que incorporen el chip T2 —como los iMac Pro y los MacBook Pros de 2018—, un mecanismo para que queden inutilizables si son reparados por terceros.  https://t.co/zzQHAIXNdc https://t.co/Ts5sbaLMRi"
2018-10-11 13:49:52,ElvisTavarez04,Negativo,apple,"Como matas un producto, con otro producto, eso hizo @apple con el XR @MARCIANOPHONE @ProfeJuANTONIO @Apple5x1"
2018-10-11 13:38:13,ProyectosEspe,Neutro,apple,"Conozca la nueva sede de @Apple #AppleCampus2, ubicado en Cupertino, California, Estados Unidos. Tiene una estructura en forma de nave espacial, con 260.000 metros cuadrados https://t.co/AF0Fb7NOpF"
2018-10-11 13:31:21,SamuCastro1425,Negativo,apple,"@FlashPCT @mrodriguezott @Apple Eso espero , por que es una pena que tenga muchas opciones desactivadas importantes del iPhone todo por ahorrar batería ."
2018-10-11 13:30:27,FlashPCT,Positivo,apple,@SamuCastro1425 @mrodriguezott @Apple iOS 12 se enfoca mucho a la estabilidad. Ya viene lo mejor
