timestamp,user,clasificación,topic,msj
s,s,d,d,s
,,class,,
2018-10-11 20:41:52,ViajarSiempre,Positivo,arsa,"@nomecallomasok @PabloK75 @Aerolineas_AR Yo hace muchos años ya había visto manzanas en EEUU, lógicamente de Río Negro, es un orgullo ver productos nuestros, tan nobles en el exterior!"
2018-10-11 20:34:53,AdrMaidana,Neutro,arsa,"@NNprytuluk @PabloK75 @Aerolineas_AR Nunca se fue... Siempre estuvo AR Cargo... Son quienes sacan esos arándanos de hecho, entre otras millones de cosas que no se publicitan"
2018-10-11 20:31:09,NNprytuluk,Positivo,arsa,@PabloK75 @Aerolineas_AR Por esto siempre pienso que debería volver Aerolíneas Cargo
2018-10-11 20:28:32,Flight_News16,Neutro,arsa,"@Aerolineas_AR  lo transporta a Miami y Nueva York, como así también a Madrid y Roma, desde donde se distribuye a Amsterdam, Fráncfort y Múnich, las ciudades donde más se consume."
2018-10-11 20:23:49,Flight_News16,Neutro,arsa,"@Aerolineas_AR completó la semana pasada el envío a EE.UU. de un cargamento de arándanos producidos en Tucumán, los cuales forman parte de las 16 mil tn que anualmente exporta el país, sobre una producción total de 21 mil. Cada semana parten 42 vuelos con un total de 300 tn. https://t.co/WsPIqwaQLS"
2018-10-11 20:13:58,PabloK75,Neutro,arsa,300 toneladas de arándanos por semana se van por @Aerolineas_AR   https://t.co/wiywEraGMF
2018-10-11 20:12:57,AleSchwartz1,Negativo,arsa,"@Aerolineas_AR vuelo que cambió de horario, demasiada gente, soy muy muy muy fobica y la falta de distancia interpersonal me está matando."
2018-10-11 19:43:13,martindponte,Negativo,arsa,@Aerolineas_AR hola fue consulta por DM
2018-10-11 19:33:45,Gon_lam,Negativo,arsa,@Aerolineas_AR imposible comunicarme por telefono. Necesito cambiar pasajes y no se puede online.
2018-10-11 18:54:12,yesicak,Negativo,arsa,"@DNDConsumidor @Aerolineas_AR @MindeTransporte termine de cargar TODOS LOS DATOS y me dice que la pagina no funciona, parece el colmo, estoy haciendo un reclamo porque @Aerolineas_AR me cag* por una pagina web y @DNDConsumidor me pasa una pagina que no funciona 😡 idem lo de aerolineas"
2018-10-11 18:47:44,LelyBrito79,Negativo,arsa,"@Aerolineas_AR necesito saber cómo cambio mis pasajes, si pudiesen responder algunos de mis mails se lo agradecería."
2018-10-11 18:44:20,Chicho30125858,Negativo,arsa,@Aerolineas_AR Mentira!!! Ni en esta ni en la otra promoción conseguí esos precios desde Salta.. capaz que no la consideran dentro de Argentina
2018-10-11 18:14:02,ArielBrizuela8,Negativo,arsa,La mina era más mentirosa que promo de @Aerolineas_AR  jaja.. Andaaa!! https://t.co/3YTaoRphpT
2018-10-11 18:10:28,karilamas17,Positivo,arsa,"@panchada @Aerolineas_AR Ok,, gracias!!👍🖐🖐"
2018-10-11 18:09:46,panchada,Positivo,arsa,@karilamas17 @Aerolineas_AR Siempre mitad d semana es más barato un vuelo y elijo la hora q sale menos q por lo general es o muy temprano o mediodía...
2018-10-11 18:06:26,karilamas17,Positivo,arsa,"@HCAQUILMES @Aerolineas_AR Haaa, gracias"
2018-10-11 18:05:52,karilamas17,Neutro,arsa,"@panchada @Aerolineas_AR Cómo haces?,,a qué hora y fecha mas baratos?"
2018-10-11 17:25:30,DNDConsumidor,Neutro,arsa,"@nicolas_zad @Aerolineas_AR ¡Hola! Si encontraste una oferta que te pareció engañosa, podés reclamar acá → https://t.co/VI6XE5CVmb."
2018-10-11 17:06:18,SuFuentesA,Negativo,arsa,@Aerolineas_AR me cambiaron el horario de un vuelo y perdí la conexión. Tuve q volver a comprar un pasaje q me salió una fortuna y ustedes no me dan ninguna rtta. a mi solicitud de compensación a este problema que no sólo fue económico sino que me causó inconvenientes adicionales
2018-10-11 16:46:49,andycai71,Negativo,arsa,"@Aerolineas_AR me pueden explicar para que ponen una promoción de compras de millas y obtener el doble si cuando lo vas hacer no te deja, lo estoy intentando desde ayer 😡😡😡"
2018-10-11 16:26:50,eldabg,Neutro,arsa,"@Aerolineas_AR Hola. AEP-PDP, la diferencia entre económica y flexible, solo es la posibilidad de cambiar el vuelo? Gracias"
2018-10-11 16:15:41,zetawaysant,Neutro,arsa,@juangerosa @quiz_viajero @Aerolineas_AR todas las reservas de Aerolíneas Argentinas se ven en Trip Case y desde allí accedés a los tickets electrónicos también.
2018-10-11 16:05:26,kvivi24,Positivo,arsa,"@Polita9999 @adrianratam @Aerolineas_AR Es hernoso, tambien andaba con ganas de volver porque siempre cambia el paisaje, asi que volveré 😀"
2018-10-11 16:03:58,Polita9999,Positivo,arsa,"@kvivi24 @adrianratam @Aerolineas_AR 👏🏻👏🏻👏🏻 Cataratas que lindo destino, fuí dos veces y volvería mil veces más"
2018-10-11 16:03:11,kvivi24,Positivo,arsa,"@adrianratam @Aerolineas_AR Espectacular, tenia pasajes saliendo desde foz, estaba esperando algo bueno, con lo que me ahorro me hice de yapa 2 dias en las cataratas antes de partir, eapectacular 💪💪💪"
2018-10-11 16:00:23,adrianratam,Positivo,arsa,@kvivi24 @Aerolineas_AR Vaamooooosss Vivi!!!!
2018-10-11 15:48:13,EnTurBA,Neutro,arsa,"En las oficinas de @Aerolineas_AR en #Asunción, capacitamos a operadores y agentes de viaje de #Paraguay sobre las novedades de la oferta turística de #BuenosAires. 🇦🇷✈️🇵🇾 https://t.co/rSPq6mLIvh"
2018-10-11 15:44:41,javo4007,Negativo,arsa,@Aerolineas_AR Verso
2018-10-11 15:21:55,MTerzzoli,Neutro,arsa,En el Aeropuerto Malvinas Argentinas #Ushuaia esperando para volar a Bs As. @Aerolineas_AR  #findeXXL https://t.co/qnufGlmx7S
2018-10-11 15:10:41,LolaRuiz64,Positivo,arsa,@alebresky @Aerolineas_AR @mauriciomacri 💪👏👏👏👏👏💙VAYAMOS ARGENTIDA CARAJO💪💙💙💙
2018-10-11 15:06:40,GustiAcrent,Negativo,arsa,"Seria bueno que los pelotudos de @Aerolineas_AR carguen la info correcta. Ayer publicaron que el cambio para pasajes de hoy era 38.00 y asi sigue figurando en la web de agencias , mientras los sistemas estan cotizando a 38.10. Sigan rompiendo los huevos. https://t.co/NP0yzOMBYJ"
2018-10-11 13:36:15,Hostnewsred,Positivo,arsa,"El fin de semana largo, Aerolíneas Argentinas transportará 9% más pasajeros https://t.co/05tid1q2tJ #findesemana #aerolíneas #Argentina #AerolíneasArgentinas #transporte #pasajeros @Aerolineas_AR"
2018-10-11 12:57:14,dbiztoday,Positivo,arsa,Aerolíneas se prepara para el finde largo. @Aerolineas_AR https://t.co/6h61d2L8fC #AerolíneasArgentinas
2018-10-11 12:40:09,MLaura_Lastres,Negativo,arsa,"Se puede ser ineficiente? si, se puede! @almundo_ar @Aerolineas_AR me patean de teléfono en teléfono, me han llegado a decir que tengo que pagar por el asiento ... que la culpa es de la agencia que bloquea el checkin y mucho más. Mientras tanto sigo esperando una solución"
2018-10-11 12:35:46,Flight_News16,Positivo,arsa,@Aerolineas_AR TRANSPORTARÁ UN 9% MÁS DE PASAJEROS QUE EL AÑO PASADO DURANTE ESTE FIN DE SEMANA LARGO https://t.co/g6bRwOUPK2 https://t.co/lzyUMp9Ggj
2018-10-11 12:20:30,marceloacasazza,Negativo,arsa,@_DarioGallardo @AndresGabrielli necesitamos vuelos a nqn de otra aerolínea. Por qué somos cautivos de @Aerolineas_AR qué es carísimo
2018-10-11 11:47:02,leiris182,Negativo,arsa,"Cuando necesito sacar pasajes, nunca puedo ingresar a las web de @Aerolineas_AR Nunca se me termina de cargar el buscador 😩"
2018-10-11 11:37:41,yesicak,Negativo,arsa,y por lo mal que me trataron en mostrador y en atencion al cliente ante mi reclamo @Aerolineas_AR
