timestamp,user,clasificación,topic,msj
s,s,d,d,s
,,class,,
2018-10-11 20:19:20,TomasCalarco,Negativo,fibertel,"deci que todas las empresas son una mierda, pero @fibertel @CableFibertel y su ‘servicio postventa’ es un desastre. Ojalá se fundan"
2018-10-11 20:08:09,CableFibertel,Neutro,fibertel,"@iglesiasmai @fibertel Te respondimos por DM, saludos!"
2018-10-11 20:02:08,Pensotti11,Negativo,fibertel,"Pésimo servicio de @fibertel por esta red, contestan cuando quieren y nunca logran solucionar nada"
2018-10-11 19:50:31,iglesiasmai,Negativo,fibertel,"Hola @fibertel @CableFibertel , por qué me están reclamando el pago de una factura diciendo que está vencida cuando no es así? Además de haber prometido bonificación por su mal accionar hace meses y nunca haberla aplicado? https://t.co/qYoj2AW1oD"
2018-10-11 19:32:46,EmilioAmendola1,Negativo,fibertel,"Vamos a mostrar lo que sucede . Leamos la letra chica , hasta 250gb en internet por cable. Son las ratas máximas, no es ilegal, es gil, porque además de tener casi un monopolio de las comunicaciones , joden a los usuarios lo más posible @CableFibertel @fibertel @ServCablevision https://t.co/sOgKqSmYcK"
2018-10-11 19:23:14,CableFibertel,Neutro,fibertel,"@EmilioAmendola1 @fibertel EmilioAmendola1 Buenas tardes, te respondí por DM."
2018-10-11 19:15:40,EmilioAmendola1,Negativo,fibertel,"No se puede creer, lo indignado que estoy, además de limitar la velocidad porque supuestamente 'se colapsan los nodos' sino que no te permiten volver a la velocidad en la que se navega, ninguna otra empresa hace esto, solo ustedes @CableFibertel @fibertel @ServCablevision"
2018-10-11 19:03:55,EmilioAmendola1,Negativo,fibertel,"Vergüenza @CableFibertel @fibertel  Limitan la velocidad de internet , y ni lo dicen , hay que leer la letra muy chica para realmente darse cuenta que después de un consumo (bajísimo) te recortan la velocidad al mínimo, solo para romperte las pelotas , porque no se puede volver"
2018-10-11 18:59:15,sareak,Negativo,fibertel,@fibertel ayer se corto unas 15 veces hoy directamente no anda. Si no lo van a arreglar al menos compensenme economicamente.
2018-10-11 18:47:13,Fornarigasoli,Negativo,fibertel,"La gente de @fibertel  vino a mi casa tres veces con la de hoy, no mandan pseudotécnicos a ""arreglar"" la conexión y sigue sin funcionar. PERO LA BOLETA TE LA COBRAN IGUAL EH... @noAndaFibertel"
2018-10-11 17:56:01,yablonovich,Negativo,fibertel,@infobae Por culpa de @fibertel como siempre.
2018-10-11 16:46:58,candelagiuliana,Negativo,fibertel,@fibertel la concha de tu madre
2018-10-11 15:37:37,Gundisalv,Negativo,fibertel,"@Carlos_Moltini @fibertel hace ya más de 15 hs que hice un reclamo y sigo sin poder acceder al sitio que quiero, con cualquier otro ISP se puede. Necesito solución urgente."
2018-10-11 15:04:14,PabloCappone,Negativo,fibertel,@fibertel @CableFibertel zona devoto sin servicio usuario Pablo Cappone por favor lo necesito para laburar
2018-10-11 14:24:07,CableFibertel,Neutro,fibertel,@beluuuchi89 @fibertel ¡Hola! Soy Amelia. Te mandé un DM.
2018-10-11 14:21:38,beluuuchi89,Negativo,fibertel,"Hola, me funciona mal internet desde temprano, llame dos veces y las dos veces mientras hablaba, pasados 15 minutos me cortaron, estaba haciendo el procedimiento de desenchufar y eso...necesito que lo solucionen sin perder tanto tiempo, gracias @CableFibertel @fibertel"
2018-10-11 13:45:15,GuidoBorzaga,Negativo,fibertel,"Cuando quieren, @fibertel y @CableFibertel son un corso a contramano... los mandas a espiar y tocan timbre.. https://t.co/U4n3AVFFHC"
2018-10-11 13:28:34,Gundisalv,Negativo,fibertel,"Respuesta de @fibertel ""Gonzalo, me acaban de informar que nuestro módem no tiene acceso al Ftp que querés acceder. Tampoco es posible tener una Ip fija, ya que nuestro equipo por defecto vienen ya de fábrica. Saludos!"" INCREIBLE LO INÚTILES Y LADRONES"
2018-10-11 12:37:40,apblengino,Negativo,fibertel,@fibertel 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 Quiero que me den el SERVICIO por el que pago una FORTUNA!!!!!
2018-10-11 12:26:45,apblengino,Neutro,fibertel,@fibertel necesito una solución
2018-10-11 11:04:18,MLaura_Lastres,Negativo,fibertel,"@buentelefe hace comunicación con @SilvanaGiudici del @ENACOMArgentina y ... no hay buena señal, se corta la comunicación. No tiene remate. Lo que me hace acordar a lo mal que funciona @fibertel porque todo me lleva a ellos ..."
2018-10-11 10:50:39,apblengino,Negativo,fibertel,"Ahora que @fibertel en monopolio de internet, te fobran una fortuna por un servicio que no funciona 😡"
2018-10-11 03:24:11,enzomacg,Negativo,fibertel,"@____KAOS_____ @CableFibertel @fibertel me descarga a 4 mbps, con suerte 4.4"
2018-10-11 02:56:40,EliasLewa,Negativo,fibertel,@claudiosavoia @MariaLujan_Rey 5to día e internet sigue andando mal @fibertel PONGANSE LAS PILAS!!! espero que esta vez que venga el técnico no me haga reiniciar el router como todas las veces y se tome el palo
2018-10-11 02:52:45,BauDarino,Negativo,fibertel,"La re putisima madre que te parió @fibertel . Hace días estoy con la señal que va y viene, se pueden ir a la puta que los pario. Mañana me bajo."
2018-10-11 02:42:34,MiliMacias9,Negativo,fibertel,@fibertel cada día anda un poco peor
2018-10-11 02:20:15,xsamskellington,Negativo,fibertel,No saben lo que me estresa pelearme con @fibertel para que me brinden el servicio que pago. Estoy harta realmente.
2018-10-11 02:11:23,Chuca,Neutro,fibertel,@ultraalto @fibertel @CableFibertel @iplanliv Estoy esperando que llegue a la cuadra.
2018-10-11 01:01:20,santiagoguasch,Negativo,fibertel,@fibertel hace dos horas q no tengo internet
2018-10-11 00:00:43,marepica,Negativo,fibertel,@fibertel no me anda internet y estoy hace 40 min en línea de espera en el teléfono
2018-10-10 23:41:35,ekiszkurno,Negativo,fibertel,@fibertel La respuesta fue totalmente insuficiente.
2018-10-10 22:48:24,xsamskellington,Negativo,fibertel,Che @fibertel estoy hace dos horas con corte de internet y no puedo trabajar...
2018-10-10 22:03:00,KaryAbbiati,Negativo,fibertel,@CableFibertel @fibertel Un desastre el servicio. La 2° vez que no hay servicio en la semana. Y cada vez sale más caro. Una vergüenza.
2018-10-10 21:32:51,overcloners,Negativo,fibertel,@ENACOMArgentina Porque no ayudan al usuario como lo tienen que ayudar @fibertel van tres dias este mes que no me da internet y no me atieneden ni me dan numero de reclamo que hago sigo sin internet?
2018-10-10 16:20:05,Jarganarasarge,Negativo,fibertel,@fibertel Hoy cortes y muy baja señal. Hablando de baja si seguimos así daría de baja al servicio. Espero soluciones
2018-10-10 15:41:39,dr_muelita,Positivo,fibertel,"@fibertel les hable por dm, gracias"
2018-10-10 14:55:02,_JuanMS,Negativo,fibertel,"Son una reverenda bosta, hijos de la mierda, brinden un servicio como corresponde. Nadie les paga tanta plata para que funcionen tan como el orto, monopólicos, garcas e inoperantes de mierda. Arreglenme el internet o páguenme el abono del teléfono soretes @fibertel"
2018-10-10 10:50:45,emichib,Negativo,fibertel,Otra vez @Fibertel sin servicio. Y responde una máquina. Ayer y hoy lo mismo
2018-10-10 03:50:39,FranAcerbo,Negativo,fibertel,@fibertel  La concha de tu madre! Que empresa ineficiente!
2018-10-10 02:40:47,ArribalzagaJere,Positivo,fibertel,@PeraltaTincho @fibertel Ya andaaa
2018-10-10 01:54:57,miguelgvm,Negativo,fibertel,Queres ver @YouTube o @NetflixLAT ? No contrates @fibertel porque te va a pasar esto #Estafa #PesimoServicio https://t.co/yG47D4OjbN
2018-10-10 01:27:43,elRuKet,Negativo,fibertel,Una noche más que @fibertel me deja sin servicio. 9 días corridos que me cortan el servicio que me cobran por adelantado. Esta semana me cambio de proveedor.  #estafa #fraude #robo #ladrones #mentirosos
