timestamp,user,clasificación,topic,msj
s,s,d,d,s
,,class,,
2018-10-11 20:26:28,gbruno2201,Negativo,vw,@vwargentina Ya envíe mi datos por mensaje privado y nada
2018-10-11 20:24:08,HernanFAlbornoz,Negativo,vw,@vwargentina Se me rompió el sistema de embrague con menos de 1 año y medio de uso todo en ciudad . La garantía es sólo es para los primeros 6 meses. Menos mal que no la use en el campo. Me duraba 2 días!
2018-10-11 20:21:27,HernanFAlbornoz,Negativo,vw,@vwargentina @gbruno2201 Lo mismo me pasa a mi. No dan respuesta! Saludos
2018-10-11 20:19:47,SuranClub,Positivo,vw,Te llevamos a visitar la planta de  @vwargentina en Pacheco. Ingresa a nuestro grupo en Facebook y entérate! https://t.co/YyK2AhIyPP https://t.co/83Sskrwr6V
2018-10-11 19:17:11,InfoAutoAr,Neutro,vw,#Volkswagen #TCross: su producción iniciará en diciembre en #España. Se presentará oficialmente el próximo 25 de octubre en Holanda. @vwargentina - Léelo en la web de @InfoAutoAr (https://t.co/Pldo220DlV) https://t.co/yIQQybxI6I
2018-10-11 18:18:58,InfoAutoAr,Positivo,vw,#Volkswagen anuncia nuevas #financiaciones y #beneficios durante octubre @vwargentina - Combustible gratis hasta fin de año y financiación a tasa 0% a 24 meses. Léelo en la web de @InfoAutoAr (https://t.co/nZamTgTBaL) https://t.co/M7GsAj6KeL
2018-10-11 18:07:49,hoeffner,Negativo,vw,"No solo eso, habiendo pagado, mas o menos 75/80 mil pesos. Finalmente les retire el auto, lo hice todo con plata de mi bolsillo por el 20% del valor que te pasan ellos y con repuestos originales. @vwargentina  @carone No hagan services oficiales!! Te roban la plata!! https://t.co/dNtCLad4O7"
2018-10-11 16:17:32,hoeffner,Negativo,vw,"Les recuerdo a todos los que no vieron mi Tweet de la semana pasada, que @vwargentina  ni @CARONE  cumplen con las garantías de los autos que venden. Aviso, a mi, con el 100% de los services cumplidos al pie de la letra no me cumplieron y te llenan de excusas."
2018-10-11 14:17:59,natihoz,Negativo,vw,"@vwargentina 4) Ahora (50.000km aprox) tengo colgando una de las patas de la caja , se salió el tornillo entero"
2018-10-11 14:17:58,natihoz,Negativo,vw,"@vwargentina  GOL POWER 2013  1) Entre los 25.000 y 30.000km , se gastaron las 4 cubiertas  2) Menos 30.000km, se fisuró 5 o 6 veces el multiple de escape (brida a la salida y en el cuerpo mismo)  3) Menos 40.000km, cambio 4 amortiguadores nuevos."
2018-10-11 14:16:12,natihoz,Negativo,vw,@vwargentina GOL POWER 2013 - todos los problemas juntos en menos de 60.000KM!!!!
2018-10-11 12:24:14,NinaPergolesi,Positivo,vw,@DiegoDaorden @vwargentina No tengo dudas!! Polo también es un caño. Un fierrito.
2018-10-11 12:22:16,DiegoDaorden,Positivo,vw,"@NinaPergolesi @vwargentina Polo... Tengo un 1.9D que lo amo, y mi bolsillo más"
2018-10-11 12:19:04,NinaPergolesi,Positivo,vw,"@DiegoDaorden @vwargentina Siempre ganó por goleada diego. 💪🏻como me gustaría verlos con un equipo oficial. Autos nobles si los hay, gol, voyage etc."
2018-10-10 23:21:19,dai_ram,Negativo,vw,"@vwargentina DECEPCIONADA CON LA MARCA, NUNCA MAS!NO RECOMIENDO LA MARCA NO AYUDAN CUANDO LAS COSAS LES SALEN MAL pero cuando tienen que vender son los primeros..NO RECOMIENDO LA MARCA. A las Suran HIGHLINE No le anda la bateria,las cambian y siguen sin funcionar y NO SOLUCIONAN"
2018-10-10 21:21:02,PuchetaDaniel,Positivo,vw,Muy bien @vwargentina Calidad asegurada dando fe por expericiencia https://t.co/xuoCIZg32r
2018-10-10 21:06:37,DiegoDaorden,Positivo,vw,@cristianre78 @lauraviajera @vwargentina Yo tengo un Polo gasolero y zafó del escándalo... no se metan con el 1.9. Cañón!!!
2018-10-10 21:03:59,TiempoMotorARG,Positivo,vw,"#Volkswagenfest Más beneficios en Octubre, financiación a tasa 0, combustible gratis, beneficios en seguros y postventa, entre otros @vwargentina @VWAmarokArg https://t.co/kghNFZMtpN https://t.co/EW1zSMFBea"
2018-10-10 21:03:12,cristianre78,Positivo,vw,"@lauraviajera @DiegoDaorden @vwargentina Y, digamos la verdad, el Volkswagen es un caño. Yo tengo un Gol y no te deja tirado jamás."
2018-10-10 20:59:29,lauraviajera,Neutro,vw,"@DiegoDaorden @vwargentina Y si. Son lideres en este mercado. El escandalo del Diesel precipitó su salida del WRC, por ejemplo. Una pena."
2018-10-10 20:51:45,DeCarloNestor,Negativo,vw,"Si hacemos una competencia de ineficiencia, en el podio habría un empate entre @vwargentina y @BNPPCardifARG entre ambos no se pueden pasar UN MAIL hace casi dos meses! Felicitaciones! Tienen mi dirección para buscar el premio!! 😡😡"
2018-10-10 18:56:24,harpetho,Positivo,vw,Oktober Fest en VW !!  @vwargentina superó las 100.000 ventas en la Argentina y lo festeja en octubre con más beneficios exclusivos. 101.722 unidades patentadas en lo q va del año es motivo para seguir el VW Fest https://t.co/htgZ8AyQ9h
2018-10-10 18:26:44,ELLOCOTRAVERSO,Positivo,vw,"@DiegoDaorden @vwargentina Ya lo tengo comprobado. Yo soy hiperfanatico de Renault, desde el Torino para aca, pero hace por lo menos 15  años estoy con la VW en varios modelos y versiones. Funcionan a pasto y agua"
2018-10-10 18:13:23,harpetho,Neutro,vw,"@DiegoDaorden @vwargentina No está en Automovilismo argentino, pero si en F3 como proveedor d motores , en Rally Cross acaba d ganar el Cto mundial y debutan c un nuevo VW Polo en WRC2..."
2018-10-10 17:51:29,DiegoDaorden,Positivo,vw,"Desde hace unos días, cuando vamos al colegio con mis hijos, empezamos a jugar a decir y contar las marcas de los autos que vemos. @vwargentina gana por afano, mal. Por cada 10 autos, seis son VW. Hagan la prueba con los suyos... ¡¡¡Y la marca no está en el automovilismo!!! https://t.co/ZIoMWYpdzr"
2018-10-10 17:49:57,jcvautos,Positivo,vw,"Continúa durante octubre la campaña de beneficios exclusivos @vwargentina . Tasa 0%, seguros, posventa, combustible gratis etc. ""VolkswagenFest"" @Mitreylosautos @MartinMassimino @sorroconese @mgq @tomasamorena https://t.co/CJ9IOMJzzw"
2018-10-10 17:48:48,16valvulas,Positivo,vw,Volkswagen Argentina ya superó las 100.000 unidades vendidas en el año y continúa con el VW Fest https://t.co/XpA9hP0e6A @vwargentina @tomasamorena https://t.co/29oHgXSlkC
2018-10-10 17:03:01,TutaCentral,Negativo,vw,Y estoy pagando 3 lucas de seguro como si tuviera una ferrari la concha bien de tu madre @vwargentina hijos de mil puta atiendanme el teléfono
2018-10-10 15:50:14,Agroverdad,Neutro,vw,"#NuevoVento @vwargentina presenta en Córdoba el nuevo Vento, la séptima versión de un ""vehículo icónico"" para la marca, dijo Martín Massimino, de Mkt de VW https://t.co/PJIoKw8CCE"
2018-10-10 14:32:42,TiempoMotorARG,Neutro,vw,Volkswagen continúa anticipando en Europa el T-Cross ►https://t.co/E0jbqNIjWX @vwargentina https://t.co/Z3Xpm5Rnru
2018-10-10 14:27:08,TiempoMotorARG,Neutro,vw,Volkswagen continúa avanzando con el T-Roc Cabrio ►https://t.co/P8GblybAtH @vwargentina https://t.co/fHjCiSBOPX
2018-10-10 14:21:48,hoeffner,Negativo,vw,"Fui, compre el Auto, vento 1.4 en car one pilar a @vwargentina hice 7 services oficiales, valor mas /menos por los 7 seran 75/80 lucas, a la primera que tenian que poner ellos, te llenan de excusas y te quieren cobrar un dineral! Y la gtia.? No hagan services oficial Chantas mal!"
2018-10-10 14:02:13,CarsDriveCba,Neutro,vw,#SucedeAhora: @vwargentina presenta el nuevo Vento en Córdoba. https://t.co/qOO026GB8p
