id,timestamp,name,mensaje,positividad
c,s,s,s,d
meta,meta,meta,,class
1,2018-09-26 20:57:54,victor00798,@InfoAutoAr @vwargentina HERMOSO,Positivo
2,2018-09-26 20:51:18,raulbarcelook,"DESDE BOXES x El Garage hoy 19 H Temario @Toyota_Arg presentó el Yaris fabricado en Brasil! @vwargentina el Vento motor 1.4 T En su cumpleaños 80,O Berta recuerda al Berta LR! +del @citroenarg C4 Cactus 1-2 de @RenaultArg en STC2000   Conducción:Raúl Barceló https://t.co/jxyJEubuGN",Neutro
3,2018-09-26 20:45:00,InfoAutoAr,"Los 10 puntos más destacados del nuevo #Volkswagen #Vento @vwargentina - Este llega con dos niveles de acabado (Comfortline y Highline) y, con el motor naftero de 1.4L TSI de 150 CV (7AT Tiptronic). Léelo en la web de @InfoAutoAr (https://t.co/oqp91AEfiz) https://t.co/Zda3lLZ5jO",Positivo
4,2018-09-26 20:24:04,CallSaulCall,@vwargentina Qué me importa Cerro Bayo si me roban para hacer un service obligatorio para conservar la garantía. Chorros!,Negativo
5,2018-09-26 20:22:51,CallSaulCall,@vwargentina Uds están locos. El service de 20MKm del Vento sale 14.000 pesos y no es más que el cambio de aceite (que cuesta 4.000 en cualquier buen service no VW). Porqué abusan. Dejaré la marca en el próximo cambio de auto. Roben a otros y mientan con las emisiones,Negativo
6,2018-09-26 18:00:01,Totalmedios_com,"@tudiscovery pone en pantalla ""Naturaleza Salvaje By Amarok"" @VWAmarokArg  @vwargentina #FedericoAmador   https://t.co/AApSOEltPf https://t.co/rEdJApLY6G",Neutro
7,2018-09-26 17:13:01,TheBrandSoup,COBERTURA https://t.co/dlhRdsAoUE - VW AMAROK y su NATURALEZA SALVAJE en DISCOVERY Channel. Enterate todo sobre esta producción conducida por Federico Amador en nuestra nota de cobertura. @tudiscovery @VWArgentina @carvajalprteam @CableFibertel https://t.co/9kzPEPrRZi https://t.co/QknsmtRyEW,Neutro
8,2018-09-26 17:12:46,chupaxixi,@Volkswagenplann Esto m parece trucho @vwargentina,Negativo
9,2018-09-26 16:25:06,LilyyDanil12,"@InfoAutoAr @vwargentina En nuevo Vento, esta buena hasta la publicidad! Que auto, con esa combinación de sedan de lujo y deportividad! 😊😊👍👍👍👍",Positivo
10,2018-09-26 15:58:11,InfoAutoAr,"El nuevo #Volkswagen #Vento se ofrece con dos tipos de #financiación @vwargentina - A través de su compañía financiera, Volkswagen Financial Services, la firma alemana otorga préstamos prendarios para todos sus modelos. Léelo en la web de @InfoAutoAr (https://t.co/rOMFNVRJXe) https://t.co/PzGyeLDi9a",Neutro
